codigo	descriptor completo	descriptor corto		
9044/3	"Sarcoma de células claras, SAI"	"Sarcoma, cél. claras, SAI"		
9044/6	"Sarcoma de células claras, SAI, metástasis"	"Sarcoma, cél. claras, SAI, metástasis"		
9050/0	Mesotelioma benigno	Mesotelioma benigno		
9050/3	Mesotelioma maligno	Mesotelioma maligno		
9050/6	"Mesotelioma maligno, metástasis"	"Mesotelioma maligno, metástasis"		
9051/0	Mesotelioma fibroso benigno	Mesotelioma fibroso benigno		
9051/3	Mesotelioma fibroso maligno	Mesotelioma fibroso maligno		
9051/6	"Mesotelioma fibroso maligno, metástasis"	"Mesotelioma fibroso maligno, metástasis"		
9052/0	Mesotelioma epitelioide benigno	Mesotelioma epitelioide benigno		
9052/3	Mesotelioma epitelioide maligno	Mesotelioma epitelioide maligno		
9052/6	"Mesotelioma epitelioide maligno, metástasis"	"Mesotelioma epitelioide maligno, metástasis"		
9053/3	"Mesotelioma maligno, tipo bifásico"	"Mesotelioma maligno, tipo bifásico"		
9053/6	"Mesotelioma maligno, tipo bifásico, metástasis"	"Mesotelioma maligno, tipo bifásico, metástasis"		
9054/0	"Tumor adenomatoide, SAI"	"Tum. adenomatoide, SAI"		
9055/0	"Mesotelioma multiquístico, benigno"	"Mesotelioma multiquístico, benigno"		
9055/1	"Mesotelioma quístico, SAI"	"Mesotelioma quístico, SAI"		
9060/3	Disgerminoma	Disgerminoma		
9060/6	"Disgerminoma, metástasis"	"Disgerminoma, metástasis"		
9061/3	"Seminoma, SAI"	"Seminoma, SAI"		
9061/6	"Seminoma, SAI, metástasis"	"Seminoma, SAI, metástasis"		
9062/3	Seminoma anaplásico	Seminoma anaplásico		
9062/6	"Seminoma anaplásico, metástasis"	"Seminoma anaplásico, metástasis"		
9063/3	Seminoma espermatocítico	Seminoma espermatocítico		
9063/6	"Seminoma espermatocítico, metástasis"	"Seminoma espermatocítico, metástasis"		
9064/2	Células germinales malignas intratubulares	Cél. germinales malignas intratubulares		
9064/3	Germinoma 	Germinoma 		
9064/6	"Germinoma , metástasis"	"Germinoma , metástasis"		
9065/3	"Tumor de células germinales, distinto de seminoma"	"Tumor, cél. germinales, distinto, seminoma"		
9065/6	"Tumor de células germinales, distinto de seminoma, metástasis"	"Tumor, cél. germinales, distinto, seminoma, metástasis"		
9070/3	"Carcinoma embrionario, SAI"	"Ca. embrionario, SAI"		
9070/6	"Carcinoma embrionario, SAI, metástasis"	"Ca. embrionario, SAI, metástasis"		
9071/3	Tumor del saco vitelino	"Tumor, saco vitelino"		
9071/6	"Tumor del saco vitelino, metástasis"	"Tumor, saco vitelino, metástasis"		
9072/3	Poliembrioma 	Poliembrioma 		
9072/6	"Poliembrioma , metástasis"	"Poliembrioma , metástasis"		
9073/1	Gonadoblastoma	Gonadoblastoma		
9080/0	Teratoma benigno	Teratoma benigno		
9080/1	"Teratoma, SAI"	"Teratoma, SAI"		
9080/3	"Teratoma maligno, SAI"	"Teratoma maligno, SAI"		
9080/6	"Teratoma maligno, SAI, metástasis"	"Teratoma maligno, SAI, metástasis"		
9081/3	Teratocarcinoma	Teratocarcinoma		
9081/6	"Teratocarcinoma, metástasis"	"Teratocarcinoma, metástasis"		
9082/3	Teratoma maligno indiferenciado	Teratoma maligno indiferenciado		
9082/6	"Teratoma maligno indiferenciado, metástasis"	"Teratoma maligno indiferenciado, metástasis"		
9083/3	Teratoma maligno intermedio	Teratoma maligno intermedio		
9083/6	"Teratoma maligno intermedio, metástasis"	"Teratoma maligno intermedio, metástasis"		
9084/0	"Quiste dermoide, SAI"	"Quiste dermoide, SAI"		
9084/3	Teratoma con transformación maligna	Teratoma con transformación maligna		
9084/6	"Teratoma con transformación maligna, metástasis"	"Teratoma con transformación maligna, metástasis"		
9085/3	Tumor mixto de células germinales	"Tum. mixto, cél. germinales"		
9085/6	"Tumor mixto de células germinales, metástasis"	"Tum. mixto, cél. germinales, metástasis"		
9090/0	"Estruma ovárico, SAI"	"Estruma ovárico, SAI"		
9090/3	Estruma ovárico maligno	Estruma ovárico maligno		
9090/6	"Estruma ovárico maligno, metástasis"	"Estruma ovárico maligno, metástasis"		
9091/1	Carcinoide estrumal	Carcinoide estrumal		
9100/0	"Mola hidatiforme, SAI"	"Mola hidatiforme, SAI"		
9100/1	Mola hidatiforme invasora	Mola hidatiforme invasora		
9100/3	"Coriocarcinoma, SAI"	"Coriocarcinoma, SAI"		
9100/6	"Coriocarcinoma, SAI, metástasis"	"Coriocarcinoma, SAI, metástasis"		
9101/3	Coriocarcinoma combinado con otros elementos de células germinales	"Coriocarcinoma combinado con otros elementos, cél. germinales"		
9101/6	"Coriocarcinoma combinado con otros elementos de células germinales, metástasis"	"Coriocarcinoma combin. c/ otros elementos, cél. germinales, metástasis"		
9102/3	Teratoma trofoblástico maligno	Teratoma trofoblástico maligno		
9102/6	"Teratoma trofoblástico maligno, metástasis"	"Teratoma trofoblástico maligno, metástasis"		
9103/0	Mola hidatiforme parcial	Mola hidatiforme parcial		
9104/1	Tumor trofoblástico de localización placentaria	"Tum. trofoblástico, localización placentaria"		
9105/3	Tumor trofoblástico epitelioide	Tum. trofoblástico epitelioide		
9105/6	"Tumor trofoblástico epitelioide, metástasis"	"Tum. trofoblástico epitelioide, metástasis"		
9110/0	Mesonefroma benigno	Mesonefroma benigno		
9110/1	"Tumor mesonéfrico, SAI"	"Tum. mesonéfrico, SAI"		
9110/3	Mesonefroma maligno	Mesonefroma maligno		
9110/6	"Mesonefroma maligno, metástasis"	"Mesonefroma maligno, metástasis"		
9120/0	"Hemangioma, SAI"	"Hemangioma, SAI"		
9120/3	Hemangiosarcoma	Hemangiosarcoma		
9120/6	"Hemangiosarcoma, metástasis"	"Hemangiosarcoma, metástasis"		
9121/0	Hemangioma cavernoso	Hemangioma cavernoso		
9122/0	Hemangioma venoso	Hemangioma venoso		
9123/0	Hemangioma racemoso	Hemangioma racemoso		
9124/3	Sarcoma de células de Kupffer	"Sarcoma, cél., Kupffer"		
9124/6	"Sarcoma de células de Kupffer, metástasis"	"Sarcoma, cél., Kupffer, metástasis"		
9125/0	Hemangioma epitelioide	Hemangioma epitelioide		
9130/0	Hemangioendotelioma benigno	Hemangioendotelioma benigno		
9130/1	"Hemangioendotelioma, SAI"	"Hemangioendotelioma, SAI"		
9130/3	Hemangioendotelioma maligno	Hemangioendotelioma maligno		
9130/6	"Hemangioendotelioma maligno, metástasis"	"Hemangioendotelioma maligno, metástasis"		
9131/0	Hemangioma capilar	Hemangioma capilar		
9132/0	Hemangioma intramuscular	Hemangioma intramuscular		
9133/1	"Hemangioendotelioma epitelioide, SAI"	"Hemangioendotelioma epitelioide, SAI"		
9133/3	Hemangioendotelioma epitelioide maligno	Hemangioendotelioma epitelioide maligno		
9133/6	"Hemangioendotelioma epitelioide maligno, metástasis"	"Hemangioendotelioma epitelioide maligno, metástasis"		
9135/1	Angioendotelioma papilar endovascular	Angioendotelioma papilar endovascular		
9136/1	Hemangioendotelioma de células fusiformes	"Hemangioendotelioma, cél. fusiformes"		
9140/3	Sarcoma de Kaposi	"Sarcoma, Kaposi"		
9140/6	"Sarcoma de Kaposi, metástasis"	"Sarcoma, Kaposi, metástasis"		
9141/0	Angioqueratoma	Angioqueratoma		
9142/0	Hemangioma verrugoso queratósico	Hemangioma verrugoso queratósico		
9150/0	Hemangiopericitoma benigno	Hemangiopericitoma benigno		
9150/1	"Hemangiopericitoma, SAI"	"Hemangiopericitoma, SAI"		
9150/3	Hemangiopericitoma maligno	Hemangiopericitoma maligno		
9150/6	"Hemangiopericitoma maligno, metástasis"	"Hemangiopericitoma maligno, metástasis"		
9160/0	"Angiofibroma, SAI"	"Angiofibroma, SAI"		
9161/0	Hemangioma racemoso adquirido	Hemangioma racemoso adquirido		
9161/1	Hemangioblastoma	Hemangioblastoma		
9170/0	"Linfangioma, SAI"	"Linfangioma, SAI"		
9170/3	Linfangiosarcoma	Linfangiosarcoma		
9170/6	"Linfangiosarcoma, metástasis"	"Linfangiosarcoma, metástasis"		
9171/0	Linfangioma capilar	Linfangioma capilar		
9172/0	Linfangioma cavernoso	Linfangioma cavernoso		
9173/0	Linfangioma quístico	Linfangioma quístico		
9174/0	Linfangiomioma	Linfangiomioma		
9174/1	Linfangiomiomatosis	Linfangiomiomatosis		
9175/0	Hemolinfangioma	Hemolinfangioma		
9180/0	"Osteoma, SAI"	"Osteoma, SAI"		
9180/3	"Osteosarcoma, SAI"	"Osteosarcoma, SAI"		
9180/6	"Osteosarcoma, SAI, metástasis"	"Osteosarcoma, SAI, metástasis"		
9181/3	Osteosarcoma condroblástico	Osteosarcoma condroblástico		
9181/6	"Osteosarcoma condroblástico, metástasis"	"Osteosarcoma condroblástico, metástasis"		
9182/3	Osteosarcoma fibroblástico	Osteosarcoma fibroblástico		
9182/6	"Osteosarcoma fibroblástico, metástasis"	"Osteosarcoma fibroblástico, metástasis"		
9183/3	Osteosarcoma telangiectásico	Osteosarcoma telangiectásico		
9183/6	"Osteosarcoma telangiectásico, metástasis"	"Osteosarcoma telangiectásico, metástasis"		
9184/3	Osteosarcoma en enfermedad ósea de Paget	"Osteosarcoma en enfermedad ósea, Paget"		
9184/6	"Osteosarcoma en enfermedad ósea de Paget, metástasis"	"Osteosarcoma en enfermedad ósea, Paget, metástasis"		
9185/3	Osteosarcoma de células pequeñas	"Osteosarcoma, cél. pequeñas"		
9185/6	"Osteosarcoma de células pequeñas, metástasis"	"Osteosarcoma, cél. pequeñas, metástasis"		
9186/3	Osteosarcoma central	Osteosarcoma central		
9186/6	"Osteosarcoma central, metástasis"	"Osteosarcoma central, metástasis"		
9187/3	Osteosarcoma intraóseo bien diferenciado	Osteosarcoma intraóseo bien diferenciado		
9187/6	"Osteosarcoma intraóseo bien diferenciado, metástasis"	"Osteosarcoma intraóseo bien diferenciado, metástasis"		
9191/0	"Osteoma osteoide, SAI"	"Osteoma osteoide, SAI"		
9192/3	Osteosarcoma paraóseo	Osteosarcoma paraóseo		
9192/6	"Osteosarcoma paraóseo, metástasis"	"Osteosarcoma paraóseo, metástasis"		
9193/3	Osteosarcoma perióstico	Osteosarcoma perióstico		
9193/6	"Osteosarcoma perióstico, metástasis"	"Osteosarcoma perióstico, metástasis"		
9194/3	Osteosarcoma superficial de alto grado	"Osteosarcoma superficial, alto grado"		
9194/6	"Osteosarcoma superficial de alto grado, metástasis"	"Osteosarcoma superficial, alto grado, metástasis"		
9195/3	Osteosarcoma intracortical	Osteosarcoma intracortical		
9195/6	"Osteosarcoma intracortical, metástasis"	"Osteosarcoma intracortical, metástasis"		
9200/0	"Osteoblastoma, SAI"	"Osteoblastoma, SAI"		
9200/1	Osteoblastoma agresivo	Osteoblastoma agresivo		
9210/0	Osteocondroma	Osteocondroma		
9210/1	"Osteocondromatosis, SAI"	"Osteocondromatosis, SAI"		
9220/0	"Condroma, SAI"	"Condroma, SAI"		
9220/1	"Condromatosis, SAI"	"Condromatosis, SAI"		
9220/3	"Condrosarcoma, SAI"	"Condrosarcoma, SAI"		
9220/6	"Condrosarcoma, SAI, metástasis"	"Condrosarcoma, SAI, metástasis"		
9221/0	Condroma yuxtacortical	Condroma yuxtacortical		
9221/3	Condrosarcoma yuxtacortical	Condrosarcoma yuxtacortical		
9221/6	"Condrosarcoma yuxtacortical, metástasis"	"Condrosarcoma yuxtacortical, metástasis"		
9230/0	"Condroblastoma, SAI"	"Condroblastoma, SAI"		
9230/3	Condroblastoma maligno	Condroblastoma maligno		
9230/6	"Condroblastoma maligno, metástasis"	"Condroblastoma maligno, metástasis"		
9231/3	Condrosarcoma mixoide	Condrosarcoma mixoide		
9231/6	"Condrosarcoma mixoide, metástasis"	"Condrosarcoma mixoide, metástasis"		
9240/3	Condrosarcoma mesenquimal	Condrosarcoma mesenquimal		
9240/6	"Condrosarcoma mesenquimal, metástasis"	"Condrosarcoma mesenquimal, metástasis"		
9241/0	Fibroma condromixoide	Fibroma condromixoide		
9242/3	Condrosarcoma de células claras	"Condrosarcoma, cél. claras"		
9242/6	"Condrosarcoma de células claras, metástasis"	"Condrosarcoma, cél. claras, metástasis"		
9243/3	Condrosarcoma desdiferenciado	Condrosarcoma desdiferenciado		
9243/6	"Condrosarcoma desdiferenciado, metástasis"	"Condrosarcoma desdiferenciado, metástasis"		
9250/1	"Tumor de células gigantes del hueso, SAI"	"Tumor, cél. gigantes, hueso, SAI"		
9250/3	Tumor maligno de células gigantes del hueso	"Tum. maligno, cél. gigantes, hueso"		
9250/6	"Tumor maligno de células gigantes del hueso, metástasis"	"Tum. maligno, cél. gigantes, hueso, metástasis"		
9251/1	"Tumor de células gigantes de partes blandas, SAI"	"Tumor, cél. gigantes, partes blandas, SAI"		
9251/3	Tumor maligno de células gigantes de partes blandas	"Tum. maligno, cél. gigantes, partes blandas"		
9251/6	"Tumor maligno de células gigantes de partes blandas, metástasis"	"Tum. maligno, cél. gigantes, partes blandas, metástasis"		
9252/0	Tumor de células gigantes tenosinovial	"Tumor, cél. gigantes tenosinovial"		
9252/3	Tumor de células gigantes tenosinovial maligno	"Tumor, cél. gigantes tenosinovial maligno"		
9252/6	"Tumor de células gigantes tenosinovial maligno, metástasis"	"Tumor, cél. gigantes tenosinovial maligno, metástasis"		
9260/3	Sarcoma de Ewing	"Sarcoma, Ewing"		
9260/6	"Sarcoma de Ewing, metástasis"	"Sarcoma, Ewing, metástasis"		
9261/3	Adamantinoma de huesos largos 	"Adamantinoma, huesos largos "		
9261/6	"Adamantinoma de huesos largos , metástasis"	"Adamantinoma, huesos largos , metástasis"		
9262/0	Fibroma osificante	Fibroma osificante		
9270/0	Tumor odontogénico benigno	Tum. odontogénico benigno		
9270/1	"Tumor odontogénico, SAI"	"Tum. odontogénico, SAI"		
9270/3	Tumor odontogénico maligno	Tum. odontogénico maligno		
9270/6	"Tumor odontogénico maligno, metástasis"	"Tum. odontogénico maligno, metástasis"		
9271/0	Fibrodentinoma ameloblástico	Fibrodentinoma ameloblástico		
9272/0	"Cementoma, SAI"	"Cementoma, SAI"		
9273/0	Cementoblastoma benigno	Cementoblastoma benigno		
9274/0	Fibroma cementificante	Fibroma cementificante		
9275/0	Cementoma gigantiforme	Cementoma gigantiforme		
9280/0	"Odontoma, SAI"	"Odontoma, SAI"		
9281/0	Odontoma compuesto	Odontoma compuesto		
9282/0	Odontoma complejo	Odontoma complejo		
9290/0	Fibroodontoma ameloblástico	Fibroodontoma ameloblástico		
9290/3	Odontosarcoma ameloblástico	Odontosarcoma ameloblástico		
9290/6	"Odontosarcoma ameloblástico, metástasis"	"Odontosarcoma ameloblástico, metástasis"		
9300/0	Tumor odontogénico adenomatoide	Tum. odontogénico adenomatoide		
9301/0	Quiste odontogénico calcificante	Quiste odontogénico calcificante		
9302/0	Tumor odontogénico de células fantasma	"Tum. odontogénico, cél. fantasma"		
9310/0	"Ameloblastoma, SAI"	"Ameloblastoma, SAI"		
9310/3	Ameloblastoma maligno	Ameloblastoma maligno		
9310/6	"Ameloblastoma maligno, metástasis"	"Ameloblastoma maligno, metástasis"		
9311/0	Odontoameloblastoma	Odontoameloblastoma		
9312/0	Tumor odontogénico escamoso	Tum. odontogénico escamoso		
9320/0	Mixoma odontogénico	Mixoma odontogénico		
9321/0	Fibroma odontogénico central	Fibroma odontogénico central		
9322/0	Fibroma odontogénico periférico	Fibroma odontogénico periférico		
9330/0	Fibroma ameloblástico	Fibroma ameloblástico		
9330/3	Fibrosarcoma ameloblástico	Fibrosarcoma ameloblástico		
9330/6	"Fibrosarcoma ameloblástico, metástasis"	"Fibrosarcoma ameloblástico, metástasis"		
9340/0	Tumor odontogénico epitelial calcificante	Tum. odontogénico epitelial calcificante		
9341/1	Tumor odontogénico de células claras	"Tum. odontogénico, cél. claras"		
9342/3	Carcinosarcoma odontogénico	Carcinosarcoma odontogénico		
9342/6	"Carcinosarcoma odontogénico, metástasis"	"Carcinosarcoma odontogénico, metástasis"		
9350/1	Craneofaringioma	Craneofaringioma		
9351/1	Craneofaringioma adamantinomatoso	Craneofaringioma adamantinomatoso		
9352/1	"Craneofaringioma, papilar"	"Craneofaringioma, papilar"		
9360/1	Pinealoma	Pinealoma		
9361/1	Pineocitoma	Pineocitoma		
9362/3	Pineoblastoma	Pineoblastoma		
9362/6	"Pineoblastoma, metástasis"	"Pineoblastoma, metástasis"		
9363/0	Tumor neuroectodérmico melanótico	Tum. neuroectodérmico melanótico		
9364/3	Tumor neuroectodérmico periférico	Tum. neuroectodérmico periférico		
9364/6	"Tumor neuroectodérmico periférico, metástasis"	"Tum. neuroectodérmico periférico, metástasis"		
9365/3	Tumor de Askin	"Tumor, Askin"		
9365/6	"Tumor de Askin, metástasis"	"Tumor, Askin, metástasis"		
9370/3	"Cordoma, SAI"	"Cordoma, SAI"		
9370/6	"Cordoma, SAI, metástasis"	"Cordoma, SAI, metástasis"		
9371/3	Cordoma condroide	Cordoma condroide		
9371/6	"Cordoma condroide, metástasis"	"Cordoma condroide, metástasis"		
9372/3	Cordoma desdiferenciado	Cordoma desdiferenciado		
9372/6	"Cordoma desdiferenciado, metástasis"	"Cordoma desdiferenciado, metástasis"		
9373/0	Paracordoma	Paracordoma		
9380/3	Glioma maligno	Glioma maligno		
9380/6	"Glioma maligno, metástasis"	"Glioma maligno, metástasis"		
9381/3	Gliomatosis del cerebro	"Gliomatosis, cerebro"		
9381/6	"Gliomatosis del cerebro, metástasis"	"Gliomatosis, cerebro, metástasis"		
9382/3	Glioma mixto	Glioma mixto		
9382/6	"Glioma mixto, metástasis"	"Glioma mixto, metástasis"		
9383/1	Subependimoma	Subependimoma		
9384/1	Astrocitoma subependimario de células gigantes	"Astrocitoma subependimario, cél. gigantes"		
9390/0	"Papiloma de los plexos coroideos, SAI"	"Papiloma, los plexos coroideos, SAI"		
9390/1	Papiloma atípico del plexo coroideo	"Papiloma atípico, plexo coroideo"		
9390/3	Carcinoma de plexo coroideo	"Carcinoma, plexo coroideo"		
9390/6	"Carcinoma de plexo coroideo, metástasis"	"Carcinoma, plexo coroideo, metástasis"		
9391/3	"Ependimoma, SAI"	"Ependimoma, SAI"		
9391/6	"Ependimoma, SAI, metástasis"	"Ependimoma, SAI, metástasis"		
9392/3	Ependimoma anaplásico	Ependimoma anaplásico		
9392/6	"Ependimoma anaplásico, metástasis"	"Ependimoma anaplásico, metástasis"		
9393/3	Ependimoma papilar	Ependimoma papilar		
9393/6	"Ependimoma papilar, metástasis"	"Ependimoma papilar, metástasis"		
9394/1	Ependimoma mixopapilar	Ependimoma mixopapilar		
9395/3	Tumor papilar de la región pineal	"Tum. papilar, la región pineal"		
9395/6	"Tumor papilar de la región pineal, metástasis"	"Tum. papilar, la región pineal, metástasis"		
9400/3	"Astrocitoma, SAI"	"Astrocitoma, SAI"		
9400/6	"Astrocitoma, SAI, metástasis"	"Astrocitoma, SAI, metástasis"		
9401/3	Astrocitoma anaplásico	Astrocitoma anaplásico		
9401/6	"Astrocitoma anaplásico, metástasis"	"Astrocitoma anaplásico, metástasis"		
9410/3	Astrocitoma protoplasmático	Astrocitoma protoplasmático		
9410/6	"Astrocitoma protoplasmático, metástasis"	"Astrocitoma protoplasmático, metástasis"		
9411/3	Astrocitoma gemistocítico	Astrocitoma gemistocítico		
9411/6	"Astrocitoma gemistocítico, metástasis"	"Astrocitoma gemistocítico, metástasis"		
9412/1	Ganglioglioma infantil desmoplásico	Ganglioglioma infantil desmoplásico		
9413/0	Tumor neuroepitelial disembrioplásico	Tum. neuroepitelial disembrioplásico		
9420/3	Astrocitoma fibrilar	Astrocitoma fibrilar		
9420/6	"Astrocitoma fibrilar, metástasis"	"Astrocitoma fibrilar, metástasis"		
9421/1	Astrocitoma pilocítico	Astrocitoma pilocítico		
9423/3	Espongioblastoma polar	Espongioblastoma polar		
9423/6	"Espongioblastoma polar, metástasis"	"Espongioblastoma polar, metástasis"		
9424/3	Xantoastrocitoma pleomorfo	Xantoastrocitoma pleomorfo		
9424/6	"Xantoastrocitoma pleomorfo, metástasis"	"Xantoastrocitoma pleomorfo, metástasis"		
9425/3	Astrocitoma pilomixoide	Astrocitoma pilomixoide		
9425/6	"Astrocitoma pilomixoide, metástasis"	"Astrocitoma pilomixoide, metástasis"		
9430/3	Astroblastoma	Astroblastoma		
9430/6	"Astroblastoma, metástasis"	"Astroblastoma, metástasis"		
9431/1	Glioma angiocéntrico	Glioma angiocéntrico		
9432/1	Pituicitoma	Pituicitoma		
9440/3	Glioblastoma	Glioblastoma		
9440/6	"Glioblastoma, metástasis"	"Glioblastoma, metástasis"		
9441/3	Glioblastoma de células gigantes	"Glioblastoma, cél. gigantes"		
9441/6	"Glioblastoma de células gigantes, metástasis"	"Glioblastoma, cél. gigantes, metástasis"		
9442/1	Gliofibroma	Gliofibroma		
9442/3	Gliosarcoma	Gliosarcoma		
9442/6	"Gliosarcoma, metástasis"	"Gliosarcoma, metástasis"		
9444/1	Glioma cordoide	Glioma cordoide		
9450/3	"Oligodendroglioma, SAI"	"Oligodendroglioma, SAI"		
9450/6	"Oligodendroglioma, SAI, metástasis"	"Oligodendroglioma, SAI, metástasis"		
9451/3	Oligodendroglioma anaplásico	Oligodendroglioma anaplásico		
9451/6	"Oligodendroglioma anaplásico, metástasis"	"Oligodendroglioma anaplásico, metástasis"		
9460/3	Oligodendroblastoma	Oligodendroblastoma		
9460/6	"Oligodendroblastoma, metástasis"	"Oligodendroblastoma, metástasis"		
9470/3	"Meduloblastoma, SAI"	"Meduloblastoma, SAI"		
9470/6	"Meduloblastoma, SAI, metástasis"	"Meduloblastoma, SAI, metástasis"		
9471/3	Meduloblastoma nodular desmoplásico	Meduloblastoma nodular desmoplásico		
9471/6	"Meduloblastoma nodular desmoplásico, metástasis"	"Meduloblastoma nodular desmoplásico, metástasis"		
9472/3	Medulomioblastoma	Medulomioblastoma		
9472/6	"Medulomioblastoma, metástasis"	"Medulomioblastoma, metástasis"		
9473/3	"Tumor neuroectodérmico primitivo, SAI"	"Tum. neuroectodérmico primitivo, SAI"		
9473/6	"Tumor neuroectodérmico primitivo, SAI, metástasis"	"Tum. neuroectodérmico primitivo, SAI, metástasis"		
9474/3	Meduloblastoma de células grandes	"Meduloblastoma, cél. grandes"		
9474/6	"Meduloblastoma de células grandes, metástasis"	"Meduloblastoma, cél. grandes, metástasis"		
9480/3	"Sarcoma cerebeloso, SAI"	"Sarcoma cerebeloso, SAI"		
9480/6	"Sarcoma cerebeloso, SAI, metástasis"	"Sarcoma cerebeloso, SAI, metástasis"		
9490/0	Ganglioneuroma	Ganglioneuroma		
9490/3	Ganglioneuroblastoma	Ganglioneuroblastoma		
9490/6	"Ganglioneuroblastoma, metástasis"	"Ganglioneuroblastoma, metástasis"		
9491/0	Ganglioneuromatosis	Ganglioneuromatosis		
9492/0	Gangliocitoma	Gangliocitoma		
9493/0	Gangliocitoma displásico del cerebelo (Lhermitte-Duclos)	"Gangliocitoma displásico, cerebelo (Lhermitte-Duclos)"		
9500/3	"Neuroblastoma, SAI"	"Neuroblastoma, SAI"		
9500/6	"Neuroblastoma, SAI, metástasis"	"Neuroblastoma, SAI, metástasis"		
9501/0	Meduloepitelioma benigno	Meduloepitelioma benigno		
9501/3	"Meduloepitelioma, SAI"	"Meduloepitelioma, SAI"		
9501/6	"Meduloepitelioma, SAI, metástasis"	"Meduloepitelioma, SAI, metástasis"		
9502/0	"Meduloepitelioma teratoide, benigno"	"Meduloepitelioma teratoide, benigno"		
9502/3	Meduloepitelioma teratoide	Meduloepitelioma teratoide		
9502/6	"Meduloepitelioma teratoide, metástasis"	"Meduloepitelioma teratoide, metástasis"		
9503/3	"Neuroepitelioma, SAI"	"Neuroepitelioma, SAI"		
9503/6	"Neuroepitelioma, SAI, metástasis"	"Neuroepitelioma, SAI, metástasis"		
9504/3	Espongioneuroblastoma	Espongioneuroblastoma		
9504/6	"Espongioneuroblastoma, metástasis"	"Espongioneuroblastoma, metástasis"		
9505/1	"Ganglioglioma, SAI"	"Ganglioglioma, SAI"		
9505/3	"Ganglioglioma, anaplásico"	"Ganglioglioma, anaplásico"		
9505/6	"Ganglioglioma, anaplásico, metástasis"	"Ganglioglioma, anaplásico, metástasis"		
9506/1	Neurocitoma central	Neurocitoma central		
9507/0	Tumor de los corpúsculos de Pacini	"Tumor, los corpúsculos, Pacini"		
9508/3	Tumor teratoide / rabdoide atípico	Tum. teratoide / rabdoide atípico		
9508/6	"Tumor teratoide / rabdoide atípico, metástasis"	"Tum. teratoide / rabdoide atípico, metástasis"		
9509/1	Tumor glioneuronal papilar	Tum. glioneuronal papilar		
9510/0	Retinocitoma	Retinocitoma		
9510/3	"Retinoblastoma, SAI"	"Retinoblastoma, SAI"		
9510/6	"Retinoblastoma, SAI, metástasis"	"Retinoblastoma, SAI, metástasis"		
9511/3	Retinoblastoma diferenciado	Retinoblastoma diferenciado		
9511/6	"Retinoblastoma diferenciado, metástasis"	"Retinoblastoma diferenciado, metástasis"		
9512/3	Retinoblastoma indiferenciado	Retinoblastoma indiferenciado		
9512/6	"Retinoblastoma indiferenciado, metástasis"	"Retinoblastoma indiferenciado, metástasis"		
9513/3	Retinoblastoma difuso	Retinoblastoma difuso		
9513/6	"Retinoblastoma difuso, metástasis"	"Retinoblastoma difuso, metástasis"		
9514/1	"Retinoblastoma, con regresión espontánea"	"Retinoblastoma, con regresión espontánea"		
9520/3	Tumor neurogénico olfatorio	Tum. neurogénico olfatorio		
9520/6	"Tumor neurogénico olfatorio, metástasis"	"Tum. neurogénico olfatorio, metástasis"		
9521/3	Neurocitoma olfatorio	Neurocitoma olfatorio		
9521/6	"Neurocitoma olfatorio, metástasis"	"Neurocitoma olfatorio, metástasis"		
9522/3	Neuroblastoma olfatorio	Neuroblastoma olfatorio		
9522/6	"Neuroblastoma olfatorio, metástasis"	"Neuroblastoma olfatorio, metástasis"		
9523/3	Neuroepitelioma olfatorio	Neuroepitelioma olfatorio		
9523/6	"Neuroepitelioma olfatorio, metástasis"	"Neuroepitelioma olfatorio, metástasis"		
9530/0	"Meningioma, SAI"	"Meningioma, SAI"		
9530/1	"Meningiomatosis, SAI"	"Meningiomatosis, SAI"		
9530/3	Meningioma maligno	Meningioma maligno		
9530/6	"Meningioma maligno, metástasis"	"Meningioma maligno, metástasis"		
9531/0	Meningioma meningotelial	Meningioma meningotelial		
9532/0	Meningioma fibroso	Meningioma fibroso		
9533/0	Meningioma psamomatoso	Meningioma psamomatoso		
9534/0	Meningioma angiomatoso	Meningioma angiomatoso		
9535/0	Meningioma hemangioblástico	Meningioma hemangioblástico		
9537/0	Meningioma transicional	Meningioma transicional		
9538/1	Meningioma de células claras	"Meningioma, cél. claras"		
9538/3	Meningioma papilar	Meningioma papilar		
9538/6	"Meningioma papilar, metástasis"	"Meningioma papilar, metástasis"		
9539/1	Meningioma atípico	Meningioma atípico		
9539/3	Sarcomatosis meníngea	Sarcomatosis meníngea		
9539/6	"Sarcomatosis meníngea, metástasis"	"Sarcomatosis meníngea, metástasis"		
9540/0	"Neurofibroma, SAI"	"Neurofibroma, SAI"		
9540/1	"Neurofibromatosis, SAI"	"Neurofibromatosis, SAI"		
9540/3	Tumor maligno de vaina nerviosa periférica	"Tum. maligno, vaina nerviosa periférica"		
9540/6	"Tumor maligno de vaina nerviosa periférica, metástasis"	"Tum. maligno, vaina nerviosa periférica, metástasis"		
9541/0	Neurofibroma melanótico	Neurofibroma melanótico		
9550/0	Neurofibroma plexiforme	Neurofibroma plexiforme		
9560/0	"Neurilemoma, SAI"	"Neurilemoma, SAI"		
9560/1	Neurinomatosis	Neurinomatosis		
9560/3	Neurilemoma maligno	Neurilemoma maligno		
9560/6	"Neurilemoma maligno, metástasis"	"Neurilemoma maligno, metástasis"		
